Trace
Swept SA
A.02.06,N9010A
78980224,-100.455138185908
78980224.5,-100.469375953667
78980225,-100.574879688147
78980225.5,-100.81564940904
78980226,-101.022170424059
78980226.5,-101.068919087269
78980227,-101.025542792392
78980227.5,-100.928191668225
78980228,-100.765837726503
78980228.5,-100.569216808746
78980229,-100.33769870786
78980229.5,-100.091805558149
78980230,-99.8426517291061
78980230.5,-99.5879690223938
78980231,-99.5097645336519
78980231.5,-99.7027543617538
78980232,-99.9181466666134
78980232.5,-99.9610268502388
78980233,-99.9153605541001
78980233.5,-99.7908645262889
78980234,-99.5495610118866
78980234.5,-99.3927152783751
78980235,-99.4192340324534
78980235.5,-99.5751206119064
78980236,-99.9182074589686
78980236.5,-100.454766949872
78980237,-100.739319451075
78980237.5,-100.618139865288
78980238,-100.33443721947
78980238.5,-100.007850517753
78980239,-99.6235902056512
78980239.5,-99.4331729291241
78980240,-99.4693639874281
78980240.5,-99.5702903625765
78980241,-99.6914324943737
78980241.5,-99.8121887751963
78980242,-99.7800042929642
78980242.5,-99.6004008961742
78980243,-99.4705963101252
78980243.5,-99.4654725975565
78980244,-99.4994986004597
78980244.5,-99.5306145079247
78980245,-99.5646912578
78980245.5,-99.4985283208145
78980246,-99.2667309412285
78980246.5,-99.0860480268368
78980247,-99.1761505096854
78980247.5,-99.3712521435421
78980248,-99.3125711554901
78980248.5,-98.9834608979766
78980249,-98.7324986031084
78980249.5,-98.6911988604781
78980250,-98.7662020692949
78980250.5,-98.9444320368435
78980251,-99.2360812128008
78980251.5,-99.5559466627908
78980252,-99.9201503811514
78980252.5,-100.250653676088
78980253,-100.415628292008
78980253.5,-100.500732826475
78980254,-100.725625915851
78980254.5,-101.122342701121
78980255,-101.455026380022
78980255.5,-101.637835151058
78980256,-101.689155106436
78980256.5,-101.537905261993
78980257,-101.201347094421
78980257.5,-100.662295010427
78980258,-99.894662642043
78980258.5,-98.9575637954862
78980259,-97.8484975549019
78980259.5,-96.6041349225981
78980260,-95.5664671777866
78980260.5,-94.7239382600071
78980261,-94.1136771829881
78980261.5,-93.7845032140789
78980262,-93.7181740879006
78980262.5,-93.9013669014475
78980263,-94.3299105893178
78980263.5,-95.0554445563208
78980264,-96.2317663115983
78980264.5,-97.5190576454856
78980265,-98.4541356218984
78980265.5,-99.18543957839
78980266,-99.9674099729323
78980266.5,-100.913081541346
78980267,-101.674375905584
78980267.5,-101.975952587824
78980268,-101.972332306665
78980268.5,-101.796797872114
78980269,-101.405748316675
78980269.5,-100.992876542745
78980270,-100.626769276995
78980270.5,-100.29111469491
78980271,-100.038193986965
78980271.5,-99.8548067052812
78980272,-99.774150396848
78980272.5,-99.8063276583344
78980273,-99.9299626771888
78980273.5,-100.140975050706
78980274,-100.435843974098
78980274.5,-100.800966618021
